License_Number,Name,Date_of_Birth,Father_Name,Citizenship_Number,Phone_Number
46-49-21641273,Saroj Gurung,18-07-2002,Dipesh Regmi,46-73-45-07813,973917828
94-14-79912792,Hari Devkota,25-04-1983,Sandeep Devkota,98-60-76-16141,983379895
16-20-60904032,Ganesh Bista,03-05-1986,Manish Bista,84-27-41-25366,971732308
94-03-87496439,Maya Khatri,20-03-1973,Pradeep Acharya,25-95-32-12662,983948326
34-32-11927484,Suren Regmi,02-09-2005,Ganesh Shrestha,39-20-71-48461,971978986
84-26-80543970,Bibek Subedi,28-09-1998,Ganesh Pandey,46-79-00-31058,972314223
28-90-19097466,Suman Pradhan,15-08-1990,Sandeep Pradhan,08-75-84-02612,982787636
03-01-30863887,Manisha Thapa,26-11-2003,Kiran Bhusal,60-43-97-88773,978857327
99-71-40548130,Prabha Rijal,16-08-1974,Rajan Bhusal,95-98-56-19825,981562870
21-37-12993190,Sumitra KC,13-02-1994,Manish Sharma,03-81-43-87789,989242874
94-75-69299986,Krishna Neupane,06-01-1983,Krishna Adhikari,01-66-02-02434,977955270
27-79-76656425,Sunil Dahal,13-12-1985,Narendra Magar,47-44-07-71056,986804630
02-42-74928437,Shova Poudyal,08-04-2002,Manish Sapkota,26-23-89-48114,986625680
33-36-84095535,Santosh Karki,14-07-1976,Suresh Bajracharya,44-87-50-48104,978531318
26-07-66335812,Komal Ghimire,08-01-1982,Roshan Neupane,36-46-55-39424,988189379
33-17-93859202,Pawan Bajracharya,11-09-2000,Ganesh Panta,95-63-86-64474,976366487
95-71-19009093,Niraj Gurung,04-09-1996,Ganesh Pandey,70-43-38-90867,983455539
74-57-93165773,Dipika Bista,01-01-1993,Santosh Rijal,26-87-46-27446,982766682
48-66-19434424,Anil Gurung,04-05-1988,Deepak Bhandari,25-23-71-76114,982034724
15-50-76319679,Pooja Rai,22-12-1982,Pradeep Neupane,13-06-22-43980,976310141
12-34-75958109,Ramesh Khatri,24-06-1979,Maheshwar Sharma,68-38-39-05592,986804630
51-97-13724473,Nirmala Regmi,28-01-1997,Deepak Aryal,24-65-73-92818,987102887
54-97-27937540,Nirmala Basnet,17-01-2004,Niraj Basnet,28-84-21-55826,976734361
09-73-80063671,Nisha Shrestha,09-06-1970,Ramesh Rijal,13-42-22-02724,982677765
78-36-74531001,Asmita Bajracharya,18-12-2000,Ramesh Ghimire,12-48-65-01635,986063978
51-97-13724473,Shiva Timilsina,13-10-1989,Krishna Adhikari,12-44-41-27969,974476144
33-52-42447105,Milan Rijal,21-11-1989,Bijay Bista,67-83-00-58344,979306606
30-95-42199016,Anil Bista,14-07-1984,Ashok Subedi,43-50-96-32673,982870080
83-86-21393065,Gauri Bajracharya,23-01-1977,Krishna Neupane,98-90-50-94717,988444681
22-95-60702988,Shova Shrestha,21-04-1987,Pradeep Shrestha,73-48-35-74584,978500946
57-20-17450552,Prabin Acharya,15-08-1990,Shiva Bhattarai,31-41-48-03763,976848554
48-07-92321638,Maya Khatri,28-01-1989,Ashok Chhetri,82-67-26-21902,982608128
11-00-93603530,Pradeep Bhandari,26-11-1977,Bikash Basnet,49-16-02-46466,977305094
09-73-80063671,Prashant Subedi,16-08-1974,Saroj Khatiwada,03-73-24-51276,982429331
09-86-99777265,Anil Bhandari,14-09-2004,Sunil Timilsina,13-42-22-02724,983948326
19-07-63880810,Santosh Rai,04-03-1979,Pawan Rai,22-46-08-57564,981114101
06-23-29065652,Dipika Bista,19-04-1975,Dipesh Regmi,17-63-28-42682,989765592
83-86-21393065,Sita Subedi,09-06-1970,Rajan Gurung,51-11-23-74798,988164585
33-61-31147333,Dinesh Bhandari,06-07-1981,Rabin Timilsina,98-62-32-24305,971759718
83-86-21393065,Kalpana Bhattarai,06-03-1996,Ram Neupane,01-43-25-58089,974576222
48-07-92321638,Suman Devkota,26-03-2001,Anil Neupane,66-46-33-45260,972468533
21-82-70206461,Roshan Tamang,19-10-1984,Rabin Pradhan,12-69-62-11893,988906091
66-83-94763573,Hari Timilsina,21-01-1987,Bijay Poudyal,70-77-25-39648,982135664
44-51-78648975,Suren Dahal,12-01-2000,Milan Shrestha,80-90-43-97095,985595004
79-06-84246678,Shiva Sharma,26-09-1998,Kiran Regmi,94-19-48-49216,982522082
66-22-28422221,Pawan Karki,26-05-2001,Niraj Adhikari,67-83-00-58344,987667635
03-01-30863887,Saroj Magar,16-06-2005,Suresh Neupane,14-49-53-56148,973184385
14-95-88131106,Ram Gurung,16-05-1976,Pradeep Acharya,61-91-36-95075,984336656
48-92-69752170,Sumitra Pandey,25-01-2006,Anil Bhandari,17-76-63-35757,971759718
05-25-16788223,Narendra Dahal,14-01-1977,Shyam Regmi,06-47-74-68275,978500946
76-66-58249957,Pawan Acharya,02-04-1972,Bibek Sharma,71-27-04-69157,989634603
78-36-74531001,Sita Khatiwada,26-04-1984,Suren Poudyal,87-19-19-71561,983034049
53-61-71093951,Niraj Bhandari,16-05-1976,Manish Pandey,09-99-75-16821,972485863
94-88-15798462,Sabina Devkota,24-10-1997,Santosh Timilsina,80-62-10-69494,974257795
59-47-70048581,Asmita Devkota,15-07-2005,Bishnu Rijal,47-81-89-62559,972611264
91-63-77938001,Pooja Pradhan,26-02-2003,Hari Sharma,97-12-37-96488,985198535
30-31-38429124,Rita Panta,13-09-2002,Shiva Panta,92-32-42-06440,971512565
31-44-26477273,Ganesh Shrestha,03-03-1971,Suren Neupane,68-03-96-77473,976733283
98-62-20796476,Pratima Bhusal,04-09-1996,Rabin Khatiwada,62-51-41-05199,985673375
22-98-91686130,Santosh Gyawali,26-06-1980,Milan Gyawali,90-05-03-66787,988848443
13-03-61070550,Manisha Basnet,21-05-1986,Pradeep Pradhan,53-75-12-21582,989933757
46-49-21641273,Sanjita Dhamala,23-04-1996,Deepak Sharma,55-21-43-85559,986054624
38-66-90466949,Kiran Bhusal,15-05-1986,Suren Poudyal,93-41-94-71104,989347346
94-63-96060625,Anita Bhusal,01-05-1997,Maheshwar Rai,74-61-63-41618,971572387
00-97-91431349,Bina Adhikari,25-08-1995,Pawan Bajracharya,82-59-18-52012,972161538
89-24-74985385,Maheshwar Gurung,09-01-1971,Kiran Bhusal,25-23-71-76114,978030611
51-23-54695394,Maya Basnet,02-09-2005,Pradeep Shrestha,15-21-81-62136,977930039
00-97-91431349,Ganesh Aryal,10-11-1970,Arjun Shrestha,44-30-27-45386,981931561
81-58-75919556,Susmita Gyawali,03-12-1989,Jitendra KC,67-77-75-14211,976328627
32-53-16245980,Pratima Magar,03-09-1976,Ashok Sapkota,88-25-16-14709,989107602
23-38-94434048,Sarita Bhandari,10-12-1987,Hari Ghimire,71-50-82-61318,979456107
81-18-31821532,Sita Pradhan,08-05-1970,Niraj Bhandari,18-71-44-59728,982787636
30-63-62573545,Krishna Karki,04-12-1972,Rabin Bhusal,25-23-71-76114,982521803
48-66-19434424,Kusum Gurung,04-06-1984,Suman Aryal,15-82-64-03965,986804630
96-63-99806231,Shyam Dahal,23-12-1971,Bikash Panta,23-63-32-83542,977955270
46-49-21641273,Komal Pandey,15-12-1993,Hari Pokhrel,08-75-84-02612,986055624
62-31-66274275,Pooja Khatri,15-12-1993,Saroj Khatiwada,25-35-97-57625,976404861
52-24-96484021,Manish Bista,27-11-1995,Bishnu Shrestha,97-12-37-96488,982787636
24-46-10913953,Sushila Timilsina,03-04-2003,Krishna Tamang,89-51-36-65750,989009934
00-70-71994717,Maheshwar Panta,16-03-1973,Bijay Bista,23-63-32-83542,977627804
48-65-39651572,Nirmala Basnet,31-05-1998,Kiran Regmi,85-96-07-47614,977363445
51-23-54695394,Ram Regmi,26-06-1980,Ashok Aryal,82-69-51-68275,978030611
24-85-38838188,Pradeep Acharya,13-04-1971,Ganesh Dahal,90-76-54-70478,979819576
13-03-61070550,Radha Gyawali,10-08-1978,Santosh Thapa,12-10-63-76853,987540707
60-67-29586773,Rekha Subedi,07-11-2002,Krishna Neupane,16-73-00-70017,985897760
73-24-23236122,Anita Pradhan,14-10-1980,Pradeep Acharya,52-23-62-39694,979480412
38-39-20342971,Bimala Bhattarai,11-10-1971,Bikash Aryal,24-65-73-92818,982142660
95-71-19009093,Ganesh Panta,13-04-1971,Pradeep Acharya,30-23-03-93593,982697264
16-45-48075416,Santosh Gyawali,10-06-2005,Ganesh Panta,61-49-21-72695,982677765
69-84-48830244,Sneha Rai,24-11-1975,Bijay Thapa,10-74-69-01270,985265403
45-01-45258133,Shova Shrestha,23-02-2002,Krishna Timilsina,44-59-47-81344,989933757
53-05-59959038,Gita Dahal,25-04-1983,Milan Ghimire,53-75-12-21582,972314223
23-00-49898672,Sandeep Devkota,05-04-1976,Ram Regmi,37-27-11-28856,986054624
46-49-21641273,Pratima Bhusal,16-03-1973,Bimal Regmi,06-64-34-24947,988521776
04-98-65677055,Gita Bhattarai,29-03-1976,Niraj Bhattarai,38-76-46-56079,974070468
84-26-80543970,Sita Sapkota,02-08-1974,Ram Gurung,66-46-33-45260,973741177
55-10-89147366,Rajan Rijal,30-09-1990,Bimal Pradhan,12-69-62-11893,985390979
06-67-16080494,Kiran Aryal,23-04-1979,Rabin Bhusal,27-98-41-93299,974257795
07-79-68392972,Niraj Dahal,24-10-1973,Naren Basnet,89-51-36-65750,987667635
15-40-14109978,Ganesh Aryal,27-10-1981,Hari Timilsina,01-43-25-58089,982196415
58-83-12568151,Gita Subedi,23-01-1978,Dipesh Bhattarai,26-05-13-85942,986735437
94-14-79912792,Dipesh Gyawali,11-10-1971,Saroj Pandey,26-49-79-89427,976486048
82-57-25238041,Susmita Pandey,23-01-2002,Arjun Dhamala,03-58-58-10431,979952093
